"TOA5","1549","CR3000","1549","CR3000.Std.04","CPU:AWI EC V1_4.CR3","15620","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","co2_mm_m3","h2o"
"TS","RN","m/s","m/s","m/s","C","","g/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2007-05-19 11:19:08.35",85580906,0.8435,0.43075,-0.161,2.464,2.429,62.31
"2007-05-19 11:19:08.4",85580907,0.814,0.3835,-0.172,2.355,2.425,62.29
"2007-05-19 11:19:08.45",85580908,0.8387501,0.4485,-0.1595,2.33,2.417,62.31
"2007-05-19 11:19:08.5",85580909,0.8775001,0.4495,-0.1515,2.598,2.436,62.3
"2007-05-19 11:19:08.55",85580910,0.83175,0.37325,-0.1715,2.424,2.408,62.38
"2007-05-19 11:19:08.6",85580911,0.83075,0.3455,-0.162,2.441,2.409,62.38
"2007-05-19 11:19:08.65",85580912,0.8855,0.39925,-0.134,2.404,2.399,62.28
"2007-05-19 11:19:08.7",85580913,0.882,0.367,-0.11725,2.365,2.435,62.31
"2007-05-19 11:19:08.75",85580914,0.8595001,0.38775,-0.1245,2.416,2.415,62.34
"2007-05-19 11:19:08.8",85580915,0.84725,0.3695,-0.139,2.395,2.414,62.24
"2007-05-19 11:19:08.85",85580916,0.808,0.319,-0.167,2.396,2.402,62.31
